Input,Time_s,Speed_RPM
0,37.702,2466
0,37.752,2400
0,37.802,2346
0,37.852,2292
0,37.902,2232
0,37.952,2172
0,38.002,2118
0,38.052,2058
0,38.102,1998
0,38.152,1944
0,38.202,1884
0,38.252,1824
0,38.302,1764
0,38.352,1710
0,38.402,1650
0,38.452,1584
0,38.502,1530
0,38.552,1470
0,38.602,1410
0,38.652,1350
0,38.702,1290
0,38.752,1230
0,38.802,1170
0,38.852,1110
0,38.902,1050
0,38.952,990
0,39.002,930
0,39.052,876
0,39.102,816
0,39.152,762
0,39.202,708
0,39.252,660
0,39.302,606
0,39.352,558
0,39.402,510
0,39.452,474
0,39.502,426
0,39.552,390
0,39.602,354
0,39.652,324
0,39.702,288
0,39.752,264
0,39.802,240
0,39.852,210
0,39.902,192
0,39.952,168
0,40.002,156
0,40.052,138
0,40.102,120
0,40.152,108
0,40.202,96
0,40.252,84
0,40.302,72
0,40.352,66
0,40.402,60
0,40.452,48
0,40.502,42
0,40.552,36
0,40.602,30
0,40.652,24
0,40.702,18
0,40.752,18
0,40.802,12
0,40.852,6
0,40.902,6
0,40.952,0
0,41.002,0
0,41.052,0
0,41.102,0
0,41.152,-6
0,41.202,0
0,41.252,0
0,41.302,0
0,41.352,0
0,41.402,0
0,41.452,0
0,41.502,0
0,41.552,0
0,41.602,0
0,41.652,0
0,41.702,0
0,41.752,0
0,41.802,0
0,41.852,0
0,41.902,0
0,41.952,0
0,42.002,0
0,42.052,0
0,42.102,0
0,42.152,0
0,42.202,0
0,42.252,0
0,42.302,0
0,42.352,0
0,42.402,0
0,42.452,0
0,42.502,0
0,42.552,0
0,42.602,0
0,42.652,0
0,42.702,0
0,42.752,0
0,42.802,0
0,42.852,0
0,42.902,0
0,42.952,0
